Part,Description,List Price,Customer Price,Core Price,Env Charge,Compressed Part
028 103 663 B,Dipstick Funnel,1.01,0.53,0,0,028103663B
053 103 663,Dipstick Funnel,2.13,1.1,0,0,053103663
06B 103 663 C,Dipstick Funnel,11.18,6.69,0,0,06B103663C
038 103 673 A,Camshaft Bearing Set,244.17,54.36,0,0,038103673A
045 105 229,Bolt,13.17,6.13,0,0,045105229
06A 105 229,Crankshaft Bolt,6.53,3.67,0,0,06A105229
078 105 229 D,Bolt,34.42,14.1,0,0,078105229D
028 105 243 R,Harmonic Balancer Pulley,246.13,112.07,0,0,028105243R
03G 105 243,Harmonic Balancer Pulley,131.48,78.66,0,0,03G105243
06A 105 243 E,Harmonic Balancer Pulley,201.3,113.32,0,0,06A105243E
06F 105 243 J,Harmonic Balancer Pulley,282.29,128.54,0,0,06F105243J
32195,Harmonic Balancer Pulley,239.64,134.88,0,0,32195
021 105 245 C,Oil Seal,16.64,9.28,0,0,021105245C
113 105 245 F,Oil Seal,5.4,3.01,0,0,113105245F
021 105 247 A,Oil Seal,9.93,5.54,0,0,021105247A
80001125,Harmonic Balancer Pulley,702.69,395.54,0,0,80001125
049 105 263 C,Crankshaft Gear,27.66,15.58,0,0,049105263C
038 105 264 E,Clutch Kit w/ DMF,682.06,405.83,0,0,038105264E
021 105 266 J,Flywheel,1125.73,530.21,0,0,021105266J
03G 105 266 BA,Flywheel,1125.73,513.98,0,0,03G105266BA
415 0723 09,Flywheel,1628.84,783.11,0,0,415072309
06A 105 266 P,Flywheel,871.3,421.03,0,0,06A105266P
06B 105 266 A,Flywheel,871.3,410.5,0,0,06B105266A
06C 105 266 B,Flywheel,1162.66,559.19,0,0,06C105266B
06D 105 266 C,Flywheel,1859.5,901.71,0,0,06D105266C
06F 105 266,Flywheel,1013.17,488.43,0,0,06F105266
06F 105 266 F,Flywheel,2022.28,946.78,0,0,06F105266F
06F 105 266 Q,Flywheel,1424.86,680.67,0,0,06F105266Q
2294 001 999,Flywheel,976.07,656.23,0,0,2294001999
079 105 266 E,Flywheel,2007.64,956.73,0,0,079105266E
021 105 269 B,Flywheel,207.3,116.69,0,0,021105269B
068 105 269 F,Flywheel,277.39,167.42,0,0,068105269F
027 105 271 R,Flywheel,197,118.9,0,0,027105271R
021 105 279,O-Ring,1.36,0.76,0,0,021105279
690 290,Bolt,5.62,3.14,0,0,690290
053 105 431 B,Piston Pin Bushing,8.93,4.13,0,0,053105431B
068 105 431,Piston Pin Bushing,7.49,3.42,0,0,068105431
311 105 431 A,Piston Pin Bushing,3.87,1.77,0,0,311105431A
77 907 600,Main Bearing Set,82.67,45.97,0,0,77907600
021 105 701 B,Rod Bearing Set,146.66,67.38,0,0,021105701B
021 105 703 B,Rod Bearing Set,151.07,68.78,0,0,021105703B
028 105 701,Rod Bearing Set,48.9,27.52,0,0,028105701
038 105 701,Rod Bearing Set,213.5,120.18,0,0,038105701
034 105 701,Rod Bearing Set,28.34,15.95,0,0,034105701
039 105 701,Rod Bearing Set,69.39,39.05,0,0,039105701
045 105 701,Rod Bearing Set,213.5,120.18,0,0,045105701
068 105 701,Rod Bearing Set,42.23,23.78,0,0,068105701
77 906 600,Rod Bearing Set,147.13,84.68,0,0,77906600
045 105 703,Rod Bearing Set,243.28,124.05,0,0,045105703
113 105 707,Rod Bearing Set,26.03,14.65,0,0,113105707
028 105 713,Rod Bearing Set,55.67,25.34,0,0,028105713
038 105 713,Rod Bearing Set,206.14,93.86,0,0,038105713
113 105 713,Rod Bearing Set,23.11,13,0,0,113105713
026 107 065 C,Piston - Single,176.91,78.99,0,0,026107065C
026 107 065 R,Piston - Single,208.44,107.35,0,0,026107065R
028 107 065 F,Piston - Single,244.55,112.45,0,0,028107065F
038 107 065 AA,Piston - Single,253.26,116.35,0,0,038107065AA
038 107 065 AB,Piston - Single,267.23,121.66,0,0,038107065AB
038 107 065 GQ,Piston - Single,198.26,90.27,0,0,038107065GQ
038 107 065 GR,Piston - Single,206.1,93.83,0,0,038107065GR
038 107 075 GQ,Piston - Single,210.64,95.92,0,0,038107075GQ
038 107 075 GR,Piston - Single,212.76,96.88,0,0,038107075GR
40247600,Piston - Single,315.9,177.82,0,0,40247600
40759600,Piston - Single,302.6,177.82,0,0,40759600
069 107 065,Piston - Single,191.9,98.85,0,0,069107065
026 107 081 R,Piston - Single,207.1,94.3,0,0,026107081R
028 107 081 F,Piston - Single,239.12,108.88,0,0,028107081F
028 107 081 H,Piston - Single,180.12,95.24,0,0,028107081H
038 107 081 AA,Piston - Single,317.1,133.56,0,0,038107081AA
038 107 081 AB,Piston - Single,309.36,133.56,0,0,038107081AB
068 107 081 BB,Piston - Single,219.34,99.87,0,0,068107081BB
069 107 081,Piston - Single,207.49,106.87,0,0,069107081
021 107 091 S,Piston - Single,143.88,65.51,0,0,021107091S
068 107 091 BD,Piston - Single,204.64,105.39,0,0,068107091BD
069 107 091,Piston - Single,226.7,103.22,0,0,069107091
06C 109 083 M,Camshaft Adjusting Unit,1699.12,734.92,0,0,06C109083M
06C 109 083 P,Camshaft Adjusting Unit,1397.83,725.22,0,0,06C109083P
078 109 087 C,Camshaft Chain Tensioner,551.44,253.53,0,0,078109087C
078 109 088 C,Camshaft Chain Tensioner,551.44,253.53,0,0,078109088C
038 109 101 AF,Camshaft,971.17,442.19,0,0,038109101AF
038 109 101 AH,Camshaft,523.27,340.23,0,0,038109101AH
038 109 101 F,Camshaft,499.96,281.42,0,0,038109101F
038 109 101 K,Camshaft,239.64,134.88,0,0,038109101K
06F 109 102 B,Camshaft,920.86,448.38,0,0,06F109102B
666861K,Camshaft Kit,1089.27,613.15,0,0,666861K
666863K,Camshaft Kit,1121.97,631.53,0,0,666863K
666864K,Camshaft Kit,1078.39,607,0,0,666864K
026 109 107 B,Timing Cover,31.27,14.23,0,0,026109107B
027 109 119 C,Timing Belt,45.08,25.25,0,0,027109119C
028 109 119 K,Timing Belt,70.16,39.29,0,0,028109119K
TB346,Timing Belt,162.79,91.63,0,0,TB346
PK06551,Timing Belt Kit w/Water Pump,569.71,309.02,0,0,PK06551
037 109 119 C,Timing Belt,27.09,15.17,0,0,037109119C
03L 109 119 D,Timing Belt,175.27,98.15,0,0,03L109119D
038 109 119 M,Timing Belt,98.39,55.1,0,0,038109119M
038 109 119 P,Timing Belt,85.37,47.81,0,0,038109119P
056 109 119 A,Timing Belt,17.54,9.82,0,0,056109119A
068 109 119 E,Timing Belt,31.19,17.47,0,0,068109119E
06A 109 119 C,Timing Belt,56.38,31.57,0,0,06A109119C
06B 109 119 A,Timing Belt,65.78,36.84,0,0,06B109119A
06C 109 119 C,Timing Belt,189.17,106.48,0,0,06C109119C
06D 109 119 B,Timing Belt,89.74,50.52,0,0,06D109119B
058 109 217 B,Tensioner,294.1,165.54,0,0,058109217B
531 0851 10,Tensioner,179.87,102.59,0,0,531085110
06D 109 243 B,Tensioner,173.96,79.21,0,0,06D109243B
06D 109 244 E,Idler Pulley,68.67,39.16,0,0,06D109244E
074 109 119 E,Timing Belt,57.76,32.51,0,0,074109119E
074 109 119 F,Timing Belt,46.74,26.31,0,0,074109119F
078 109 119 D,Timing Belt,90,50.4,0,0,078109119D
078 109 119 H,Timing Belt,75.09,42.05,0,0,078109119H
028 109 127 J,Timing Cover,105.5,68,0,0,028109127J
45953,Timing Chain,141.61,79.72,0,0,45953
45956,Timing Chain,138.81,78.14,0,0,45956
886 650,Timing Chain Cover,178.18,99.42,0,0,886650
551 0164 10,Camshaft Tensioner Assembly,383.85,218.93,0,0,551016410
06E 109 217 H,Tensioner,381.3,173.73,0,0,06E109217H
551 0163 10,Camshaft Tensioner Assembly,318.07,181.42,0,0,551016310
06F 109 217 A,Camshaft Chain Tensioner,143.62,81.92,0,0,06F109217A
06E 109 218 H,Tensioner,381.3,173.73,0,0,06E109218H
FB171356,Timing Chain Cover,207.19,134.5,0,0,FB171356
058 109 229 B,Timing Chain,86.41,48.64,0,0,058109229B
06D 109 229 A,Timing Chain,80.06,45.06,0,0,06D109229A
06E 109 229 F,Timing Chain,183.31,103.19,0,0,06E109229F
079 109 229,Timing Chain,198.74,111.87,0,0,079109229
079 109 229 D,Timing Chain,190.27,110.72,0,0,079109229D
079 109 229 L,Timing Chain,147.12,67.65,0,0,079109229L
028 109 243 E,Tensioner,115.74,52.71,0,0,028109243E
026 109 243 J,Tensioner Pulley,66.91,30.77,0,0,026109243J
038 109 243 M,Tensioner,206.59,117.83,0,0,038109243M
038 109 243 N,Tensioner,145.43,82.95,0,0,038109243N
03L 109 243 E,Tensioner,140.96,64.2,0,0,03L109243E
049 109 243,Tensioner Pulley,34.57,19.72,0,0,049109243
058 109 243 E,Tensioner Pulley,143.53,65.36,0,0,058109243E
06B 109 243,Tensioner Pulley,149.16,76.07,0,0,06B109243
06B 109 243 B,Tensioner Pulley,99.38,45.25,0,0,06B109243B
06B 109 243 F,Tensioner Pulley,105.26,62.35,0,0,06B109243F
074 109 243 J,Tensioner,91.84,58.94,0,0,074109243J
078 109 243 C,Tensioner Pulley,93.77,43.12,0,0,078109243C
078 109 243 K,Tensioner Pulley,82.56,37.97,0,0,078109243K
078 109 243 R,Tensioner Pulley,108.35,49.34,0,0,078109243R
028 109 244,Idler Pulley,57.08,32.56,0,0,028109244
03G 109 244,Idler Pulley,96.72,44.86,0,0,03G109244
038 109 244 E,Idler Pulley,44.36,25.3,0,0,038109244E
038 109 244 H,Idler Pulley,83.43,46.96,0,0,038109244H
038 109 244 J,Idler Pulley,32.94,18.79,0,0,038109244J
045 109 244 A,Idler Pulley,45.87,20.89,0,0,045109244A
058 109 244,Idler Pulley,34.65,19.77,0,0,058109244
06B 109 244,Idler Pulley,31.75,18.12,0,0,06B109244
06C 109 244 C,Idler Pulley,116.61,65.64,0,0,06C109244C
06C 109 244 D,Idler Pulley,144.43,65.77,0,0,06C109244D
077 109 244 C,Idler Pulley,83.47,38.01,0,0,077109244C
077 109 244 E,Idler Pulley,107.77,49.34,0,0,077109244E
078 109 244 F,Idler Pulley,76.55,35.19,0,0,078109244F
078 109 244 G,Idler Pulley,79.43,45.31,0,0,078109244G
078 109 244 H,Idler Pulley,86.13,39.2,0,0,078109244H
077 109 246 B,Tensioner Damper,185.31,80.36,0,0,077109246B
022 109 309,Valve Lifter,73.88,33.95,0,0,022109309
034 109 309,Valve Lifter,15.15,8.65,0,0,034109309
038 109 309 C,Valve Lifter,31.21,17.8,0,0,038109309C
050 109 309 H,Valve Lifter,22.23,12.68,0,0,050109309H
058 109 309 E,Valve Lifter,26.29,14.99,0,0,058109309E
058 109 309 F,Valve Lifter,28.56,16.29,0,0,058109309F
06D 109 309 C,Camshaft Follower,49.86,27.25,0,0,06D109309C
021 109 345 A,Pushrod Seal,0.66,0.37,0,0,021109345A
113 109 345 A,Pushrod Seal,0.67,0.39,0,0,113109345A
